,ra,dec,z,bcg_x,bcg_y
0,210.63771986965358,14.139787888128653,0.24612832,1308.9267062052272,552.9130386927906
1,206.47345765955788,36.81760707249053,0.25614446,1947.0014257030145,1080.6629773686252
2,209.15320486439063,17.832503167329804,0.23136245,941.2768985286405,535.434394273122
3,191.76283648729492,18.55323490185862,0.23361243,1143.9086135802147,306.566483450301
4,177.26476942495145,1.5017394742677932,0.23242463,1677.2744093673632,1414.1080411710184
5,200.42046325640098,49.37998358384035,0.28463575,1862.7698375149207,1183.9969505871748
6,200.28973628641273,64.55019837576077,0.23311625,1223.1047513253136,204.11291928335456
7,182.9563699136501,29.978172327484998,0.22191289,1946.6825988973205,922.339644535242
8,191.4388270900711,29.512027373360723,0.2412312,884.4238174538211,1070.0322004200748
9,204.8961624968204,38.39201006158182,0.20320610000000008,1105.9677392756937,826.027951837196
10,202.89760881918446,12.842261343392973,0.24580981,876.3511435270536,809.7745686675119
11,168.22309635558025,53.83036005154297,0.2155756,156.9537853154267,271.9383088735246
12,144.69311878479516,22.64773924896216,0.25027296,1909.5487507182959,1268.852245994094
13,202.5116215424761,65.08312441803139,0.21977408,495.9657772912069,317.18998591529333
14,204.69734678269887,38.88477896521181,0.25062788,1356.4878582197873,1196.1838205450515
15,180.61160719990025,50.6156937225433,0.29084903,672.3894692492045,945.4083874170217
16,220.72365130019813,31.678561648897897,0.2415859,1806.0879200587974,284.3386290771355
17,170.24213085416991,33.795035912850736,0.2364601,1114.619235444895,1327.0657424689632
18,188.6052621419814,14.487425481131652,0.23456432,1374.2833917833605,912.0317944251362
19,191.0101955244196,28.937258134979963,0.22811069,1225.6831323011186,833.0016606027832
20,183.20219876987247,41.06995934124017,0.26375368,354.6721822854136,1116.9366856883685
21,179.5084259223094,11.551349037550047,0.29066947,1512.9234044144596,604.2316572436188
22,138.08966316228532,21.49825317262846,0.27284998,1775.4450190259313,875.1349848469798
23,150.36981377262137,4.577001282191841,0.2215268,426.0961275380706,640.8596327597253
24,191.1921646155064,20.48783522245862,0.258176,1670.2174890294323,1286.8718761352713
25,216.5542655210436,18.979562325341124,0.21173336,1690.0173896752897,862.9121884447015
